Job Title,Company Name,Location,Skills,Link
System Administrator,DanatTravels,"Nasr City, Cairo, Egypt",Software,https://wuzzuf.net/jobs/p/fF50kHDA77qJ-System-Administrator-Danat-Travels-Cairo-Egypt
Web Development & Programming Teacher (Various Locations inside Egypt),Confidential,"Cairo, Egypt",Communication,https://wuzzuf.net/jobs/p/J4dDBYdB9IuF-Web-Development-Programming-Teacher-Various-Locations-inside-Egypt-Cairo-Egypt
Smart Home Devices - IOT Team Leader,Confidential,"Mansoura, Dakahlia, Egypt",computer,https://wuzzuf.net/jobs/p/7HPEikQ7pJh2-Smart-Home-Devices---IOT-Team-Leader-Dakahlia-Egypt
Full Stack Web Developer,Generator,"Heliopolis, Cairo, Egypt",ComputerScience,https://wuzzuf.net/jobs/p/55agC10oJg0e-Full-Stack-Web-Developer-Generator-Cairo-Egypt
Senior Devops Engineer,Confidential,"Alexandria, Egypt",Databases,https://wuzzuf.net/jobs/p/GvG3CfqF7NwH-Senior-Devops-Engineer-Alexandria-Egypt
Full Stack Developer,AlShababAlTamoheen,"Jeddah, Saudi Arabia",Helpdesk,https://wuzzuf.net/jobs/p/KqtjPY7jNskA-Full-Stack-Developer-Al-Shabab-Al-Tamoheen-Jeddah-Saudi-Arabia
Data Annotation Team Lead,EgInsurtech,"Cairo, Egypt",Informationtechnology,https://wuzzuf.net/jobs/p/A5qTdwlu96Gb-Data-Annotation-Team-Lead-Eg-Insurtech-Cairo-Egypt
Senior QC Tester,waffarhacom,"Downtown, Cairo, Egypt",ComputerScience,https://wuzzuf.net/jobs/p/CA31xakP3Acn-Senior-QC-Tester-waffarha-com-Cairo-Egypt
Full Stack Developer,Confidential,"New Cairo, Cairo, Egypt",InformationTechnologyIT,https://wuzzuf.net/jobs/p/Vbbkf7D2jtOu-Full-Stack-Developer-Cairo-Egypt
Junior MERN Full Stack Developer,SalemVentures,"Maadi, Cairo, Egypt",Programming,https://wuzzuf.net/jobs/p/claV1gwEg9NA-Junior-MERN-Full-Stack-Developer-Salem-Ventures-Cairo-Egypt
web developer and PHP,souqco,"New Cairo, Cairo, Egypt",WebDevelopment,https://wuzzuf.net/jobs/p/bO2potsxP4ah-web-developer-and-PHP-souq-co-Cairo-Egypt
Senior Full Stack Java Developer,MTSIT,"Maadi, Cairo, Egypt",Education,https://wuzzuf.net/jobs/p/FCYs3rKPalYj-Senior-Full-Stack-Java-Developer-MTS-IT-Cairo-Egypt
Unreal Engine Programmer,WakebData,"Mohandessin, Giza, Egypt",PHPWebDevelopment,https://wuzzuf.net/jobs/p/hDZiJ31rfHmd-Unreal-Engine-Programmer-Wakeb-Data-Giza-Egypt
IT Section Head,Confidential,"Obour City, Cairo, Egypt",ElectricalEngineering,https://wuzzuf.net/jobs/p/iZif0qUUZRxz-IT-Section-Head-Cairo-Egypt
Senior Security Engineer,CleopatraHospitalsGroup,"Maadi, Cairo, Egypt",SmartHome,https://wuzzuf.net/jobs/p/e5o4yWjz7bZe-Senior-Security-Engineer-Cleopatra-Hospitals-Group-Cairo-Egypt
Junior Azure cloud engineer,EfadaTechnology,"New Cairo, Cairo, Egypt",CloudComputing,https://wuzzuf.net/jobs/p/h7EgmwzoBz1G-Junior-Azure-cloud-engineer-Efada-Technology-Cairo-Egypt
Web Designer and Developer,ahramat,"Sheikh Zayed, Giza, Egypt",Cloud,https://wuzzuf.net/jobs/p/uRWhAM5vGCwL-Web-Designer-and-Developer-ahramat-Giza-Egypt
Senior Odoo Developer,Confidential,"Sidi Gaber, Alexandria, Egypt",DNS,https://wuzzuf.net/jobs/p/QJrMjYfl7Z09-Senior-Odoo-Developer-Alexandria-Egypt
Senior software engineer specialized ( Microservices environment),Confidential,"Nasr City, Cairo, Egypt",Engineering,https://wuzzuf.net/jobs/p/kibSfpkXp8E4-Senior-software-engineer-specialized-Microservices-environment-Cairo-Egypt
[Remote] Frontend intern,Freightdog,"Amsterdam, Netherlands",ComputerScience,https://wuzzuf.net/internship/cKMGOSBHDJ7a-Remote-Frontend-intern-Freightdog-Amsterdam-Netherlands
Senior Data Engineer,NahdetMisrPublishingGroup,"Mohandessin, Giza, Egypt",AzureActiveDirectory,https://wuzzuf.net/jobs/p/4jhR3nrGkJFn-Senior-Data-Engineer-Nahdet-Misr-Publishing-Group-Giza-Egypt
Application Support Engineer - ITSM/ITOM Solutions,SanatechGlobalSolutions,"Smouha, Alexandria, Egypt",Azure,https://wuzzuf.net/jobs/p/YutTYGNK49u2-Application-Support-Engineer---ITSMITOM-Solutions-Sanatech-Global-Solutions-Alexandria-Egypt
Data Engineer Expert (ETL Informatica Tools),BBIConsultancy,"Nasr City, Cairo, Egypt",ActiveDirectory,https://wuzzuf.net/jobs/p/FkaZws5apOam-Data-Engineer-Expert-ETL-Informatica-Tools-BBI-Consultancy-Cairo-Egypt
Web Developer,YASPROMEDIA,"Cairo, Egypt",Designer,https://wuzzuf.net/jobs/p/rgUiumQttrzK-Web-Developer-YASPROMEDIA-Cairo-Egypt
Senior Blockchain Developer,eVision,"Cairo, Egypt",developer,https://wuzzuf.net/jobs/p/4dBUv7QZOIBs-Senior-Blockchain-Developer-eVision-Cairo-Egypt
Senior .NET Core Developer,AccelerateDigitalTransformationUltimusEgypt,"New Cairo, Cairo, Egypt",Web,https://wuzzuf.net/jobs/p/13ZLs5IRgqny-Senior-NET-Core-Developer-Accelerate-Digital-Transformation---Ultimus-Egypt-Cairo-Egypt
